NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT07463690,Construction and Evaluation of a Flipped Discharge Model for Stomates With Colorectal Cancer,https://clinicaltrials.gov/study/NCT07463690,,NOT_YET_RECRUITING,"This multicenter randomized controlled trial aims to develop and evaluate the effectiveness of a ""Flipped Discharge"" intervention for colorectal cancer patients with a new intestinal stoma. Guided by the Response to Transition Theory, the model addresses the care gap during the vulnerable post-discharge period by shifting critical support from the hospital to the patient's home. Approximately 200 eligible patients will be randomized into either the intervention or standard care control group. The core ""Flipped Discharge"" intervention occurs on the third day post-discharge, delivered either as an in-home visit by a specialist stoma nurse (via an ""Internet + Nursing Service"" platform) or as an intensive, standardized video follow-up with mailed instructional materials. The study's primary outcome is the incidence of stoma-related complications. Secondary outcomes include quality of life, self-care ability, self-efficacy, stoma adaptation, discharge readiness, healthcare costs, and satisfaction. The trial will also explore the mechanisms by which the intervention affects patient outcomes, ultimately seeking to provide evidence for a feasible, patient-centered model to improve care continuity.",NO,Colorectal Cancer|Stoma,BEHAVIORAL: Response to Transition Theory-based Flipped Discharge Model,"Incidence of stoma and peristomal skin complications, The occurrence of complications related to the intestinal stoma and the surrounding skin will be assessed using a standardized Stoma Complication Assessment Form. This form evaluates six major items: changes in peristomal skin, degree of stoma prolapse, presence of parastomal hernia, degree of stoma stenosis, degree of stoma retraction, and degree of stoma mucocutaneous separation. Each item has specific criteria and a scoring system, with a higher total score indicating a greater number and severity of complications., From the initiation of the intervention (post-discharge) up to 1 month postoperatively, or as defined by the primary study endpoint period.","Level of adaptation to the stoma, Measured using the Chinese version of the Ostomy Adjustment Scale (OAS) . The scale consists of 34 items rated on a 6-point Likert scale, with total scores ranging from 34 to 204. A higher total score indicates better psychological and social adaptation to living with a stoma., From the initiation of the intervention (post-discharge) up to 1 month postoperatively, or as defined by the primary study endpoint period.|Level of stoma-related self-efficacy, Measured using the Chinese version of the Stoma Self-Efficacy Scale (SSES) . This 22-item scale assesses patients' confidence in managing their stoma (stoma efficacy) and in social situations (social self-efficacy) using a 5-point Likert scale. Total scores range from 22 to 110. A higher score indicates greater self-efficacy., From the initiation of the intervention (post-discharge) up to 1 month postoperatively, or as defined by the primary study endpoint period.|Readiness for hospital discharge, Measured using the Chinese version of the Readiness for Hospital Discharge Scale (RHDS) . This 12-item scale assesses a patient's self-perceived preparedness for discharge across three dimensions: personal status, coping ability, and expected support. Each item is scored on a 0-10 scale, with total scores ranging from 0 to 120. A higher total score indicates better readiness for discharge., Assessed at the core intervention point (approximately 3 days post-discharge).|Disease-specific quality of life, Measured using the Chinese version of the Stoma Quality of Life Scale (Stoma-QOL-C) . This 20-item scale evaluates the impact of the stoma on various life domains over the past month across four dimensions (e.g., sleep, social relationships). Each item is scored on a 4-point Likert scale (1 = always, 4 = never), with total scores ranging from 20 to 80. A higher total score indicates better stoma-specific quality of life., From the initiation of the intervention (post-discharge) up to 1 month postoperatively, or as defined by the primary study endpoint period.|Self-care ability for stoma management, Measured using the Chinese version of the Stoma Self-Care Scale - Early Stage version (SSCS-early) . This 10-item scale specifically assesses a patient's skill in independently changing the stoma appliance. Each item is scored on a 5-point Likert scale (1 = very unskilled, 5 = very skilled), with total scores ranging from 10 to 50. A higher score indicates greater self-care ability., From the initiation of the intervention (post-discharge) up to 1 month postoperatively, or as defined by the primary study endpoint period.|Length of Hospital Stay, Measured as the average length of the index hospital admission in days., From hospital admission for the index surgery through the follow-up period (e.g., 1 month postoperatively).|Healthcare Costs, Includes total medical costs during the study period, covering Western and traditional Chinese medicine, stoma center fees, and supplies. Measured in RMB., From hospital admission for the index surgery through the follow-up period (e.g., 1 month postoperatively).|Intervention Implementation Costs, The direct costs of implementing the ""Flipped Discharge"" intervention (e.g., provider travel expenses, personnel time) will be quantified separately. Measured in RMB., From hospital admission for the index surgery through the follow-up period (e.g., 1 month postoperatively).|Hospital Readmission Rate, The rate of hospital readmission during the follow-up period. Measured as a percentage (%) ., From hospital admission for the index surgery through the follow-up period (e.g., 1 month postoperatively).|Patient Trust and Perceived Support, Assessed using a self-developed questionnaire evaluating the nurse-patient relationship. The tool includes two subscales: Trust subscale: Scores range from X to Y, with higher scores indicating greater patient trust in the nurse-patient relationship. Support subscale: Scores range from X to Y, with higher scores indicating greater perceived support from the stoma nurse. Each item is rated on a Likert scale (e.g., 1 = not at all to 5 = completely), and subscale scores are calculated by summing the individual item scores., From the initiation of the intervention (post-discharge) up to 1 month postoperatively, or as defined by the primary study endpoint period.",,Sun Yat-sen University,,ALL,"ADULT, OLDER_ADULT",NA,200,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: SINGLE (PARTICIPANT) | Primary Purpose: SUPPORTIVE_CARE,G2025-208-01|A2025001,2026-03-10,2027-12-30,2027-12-30,2026-03-11,,2026-03-11,"Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, China",
NCT04851197,Flipped Learning Model on Students' Knowledge and Health Beliefs,https://clinicaltrials.gov/study/NCT04851197,,COMPLETED,"The aim of the training on testicular cancer and Testicular Self Examination is to increase the awareness of individuals and to develop health behaviors for early diagnosis. However, in the literature, it is seen that in the training studies conducted on this subject, mostly the training videos and presentations are made with the classical expression method. In this study, unlike other studies, the effect of the training given with the Flipped Learning Model on the knowledge and beliefs of male students regarding testicular cancer and Testicular Self Examination will be examined. It is thought that the results of the study to be obtained will guide health professionals in the selection of teaching models to increase the effectiveness of training activities to be planned for young adult males for the early diagnosis of testicular cancer.",NO,Self-Examination,OTHER: Flipped Learning Model,"Testicular Cancer and Testicular Self Examination Knowledge Test, Testicular cancer and Testicular Self Examination knowledge test was prepared by the researchers in line with the literature. In the knowledge test, there are 17 items about the incidence of testicular cancer, risk factors, symptoms, the importance of Self-Testicular Examination in early diagnosis, the frequency of performing it and how to do it. Participants will be asked to mark the questions as true, false and do not know. Expert opinion will be taken for the content validity of the prepared knowledge test. According to the results of the content validity index, the minimum and maximum points to be taken will be determined according to the number of items in the knowledge test., Testicular cancer and Testicular Self Examination knowledge test will be applied baseline and two weeks after the training.|Champion's Health Belief Model Scale, The Turkish reliability and validity of Champion's Health Belief Model Scale, which determines beliefs and practices for Self Testicular Examination by modifying Champion's Health Belief Model by Barnes (2000), was made by Pınar et al. (2011). The scale consists of five subscales and 26 items. Among the subscales, sensitivity: 5 items (1-5), Severity: 7 items (6-12), benefits: 3 items (13-15), barriers: 5 items (16-20) and self-efficacy: 6 items ( 21-26)., 6 weeks","Visual Analog Satisfaction Scale, Students' satisfaction with the educational method will be measured with an 11-point.Numbers between 0-10 were defined on a line, and the participants will be asked to indicate the number of satisfaction levels they feel on this line. Participants with no satisfied scored 0 and extremely satisfied participants scored 10.

Unsatisfied participants should mark 0 points, and very satisfied participants should mark 10 points., 2 weeks",,Eastern Mediterranean University,,MALE,"ADULT, OLDER_ADULT",NA,66,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: SCREENING,Dogu Akdeniz Universitesi,2021-04-21,2021-06-10,2021-06-17,2021-04-20,,2021-09-13,"Eastern Mediterranean University, Health Sciences Faculty, Nursing Department, Famagusta, None Selected, 99520, Cyprus",
NCT07128290,PErioperative CISGEM + Rilvegostomig in High-Risk Resectable Intra Hepatic CholangioCarcinoma,https://clinicaltrials.gov/study/NCT07128290,PEHRICCA,NOT_YET_RECRUITING,The goal of this trial is to determine whether the combination of CISGEM and Rilvegostomig during the perioperative period works to improve outcomes of patient undergoing surgery of high-risk of intrahepatic cholangiocarcinoma,NO,Intrahepatic Cholangiocarcinoma (Icc),DRUG: CISGEM + Rilvegostomig,"Percentage of patients alive without progression at 12 months, Progression was assessed by the investigator according to RECIST

1.1 criteria based on imaging studies performed every 9 weeks, Clinical progressions, not confirmed on imaging, were not be counted in the primary endpoint.

Death for all causes is also an event., 12 months after inclusion","Overall survival, Overall survival is defined as the time from the date of inclusion to the patient's death (all causes). For alive patients, the date of the last news will be taken into account., Up to 24 months after inclusion",,Federation Francophone de Cancerologie Digestive,,ALL,"ADULT, OLDER_ADULT",PHASE2,49,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,PRODIGE 118 - FFCD 2402|2025-521302-17-00,2025-10-30,2029-04-30,2029-04-30,2025-08-17,,2025-08-17,"Chu Caen Normandie, Caen, France|Centre Gf Leclerc, Dijon, France|Chu de Dijon, Dijon, France|Chu Grenoble Alpes, Grenoble, France|Chu Dupuytren, Limoges, France|Hopital de La Timone Ap-Hm, Marseille, France|Nancy Chru, Nancy, 54500, France|Hopital Prive Du Confluent, Nantes, France|Chu de Poitiers, Poitiers, France",
NCT06391190,Concurrent Chemoradiotherapy Followed by PD-1 Inhibitor in Advanced Cervical Cancer,https://clinicaltrials.gov/study/NCT06391190,,RECRUITING,To explore the safety and efficacy of Albumin-Bound Paclitaxel/Platinum based concurrent chemoradiotherapy Followed by PD-1 inhibitor (Sintilimab) in locally advanced cervical cancer,NO,Locally Advanced Cervical Carcinoma|Concurrent Chemoradiotherapy|Immunotherapy,"DRUG: Albumin-Bound Paclitaxel, cisplatin, Sintilimab","progression disease free survival, the time interval from the date of treatment to disease progression, local or distant recurrence., -2 years|safety of Albumin-Bound Paclitaxel/cisplatin based concurrent chemoradiotherapy followed by Sintilimab, the occurrence and grade of side effect from treatment according to the CTCAE 4.0 and NCCN clinical practice guidelines in the evaluation treatment-related toxicity (through the symptoms, physical examination, and also through blood/image/encoscopy examination, such as blood routine, liver and renal function, TSH/T3/T4/ACTH concentration, myocardial enzymes, and EKG, echocardiography, CT, et al)., -1 years","Objective Response Rate (ORR), the percentage of the participants in the population who have a Complete Response or Partial Response accordingly to RECIST 1.1, 3 months|distant-metastasis free survival, the time interval from the date of treatment to distant recurrence., -2 years",,RenJi Hospital,,FEMALE,"ADULT, OLDER_ADULT",PHASE1|PHASE2,20,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,ACCI,2022-01-01,2024-12-30,2026-12-30,2024-04-30,,2024-04-30,"RenJi hospital, Shanghai, 200127, China",
NCT03531320,Study of D07001-Softgel Capsules in Subjects With Gastrointestinal Cancer in Dose-Escalation Phase and in Subjects With Biliary Tract Cancer in Dose-Expansion Phase,https://clinicaltrials.gov/study/NCT03531320,,COMPLETED,"Part 1: Dose-Escalation Phase (Phase 1b) The primary objective is to assess the safety and tolerability of increasing doses of D07001 softgel in patients with unresectable locally advanced or metastatic gastrointestinal (GI) cancer.

Part 2: Dose-Expansion Phase (Phase 2) The primary objective is to assess the safety and tolerability of D07001 softgel in patients who have achieved stable disease or better following first line chemotherapy or combined chemoradiotherapy (CCRT) for unresectable metastatic or locally advanced biliary tract cancer (BTC)",YES,Gastrointestinal Cancer|Biliary Tract Cancer,DRUG: D07001-softgel capsules,"Part 1: Establish the Maximum Tolerated Dose (MTD), MTD will be defined based on the number of dose limiting toxicities (DLT) in subjects at each dose level.

DLT definition: In Part 1 of the study, any of the following AEs occurring during Cycle 1 will be classified as DLTs, if there is a reasonable possibility that it is related to the study drug

* Hematologic:

  * Grade 4 neutropenia lasting \>7 days
  * Febrile neutropenia (defined as neutropenia Grade ≥3 and a body temp ≥38.3°C)
  * Grade ≥3 neutropenic infection
  * Grade 4 anemia
  * Grade ≥3 thrombocytopenia with bleeding
  * Grade 4 thrombocytopenia
* Non-hematologic:

  o Grade ≥3 toxicities that are considered clinically significant, except those that have not been maximally treated (e.g., nausea, vomiting, diarrhea\*) or can be easily treated (e.g., electrolyte abnormalities).
* Failure to deliver at least 6 of the planned 9 doses during Cycle 1 due to treatment-related toxicities.
* Upon the second occurrence of a toxicity leading to a dose hold., During Cycle 1 of treatment (each cycle is 21 days) for each subject|Part 1 : Incidence of Adverse Events (AEs)/ Serious Adverse Event (SAEs), AEs will be assessed via the Common Terminology Criteria for Adverse Events (CTCAE) version 4.03, From date of informed consent to 30-day follow-up visit for each subject, an average of 10 months|Part 2: Incidence of Dose Modifications, Including Dose Reduction, Interruption, or Discontinuation of Study Drug, To measure ratio of total subjects who experienced the dose modifications including dose reduction, interruption, or discontinuation of study drug due to AEs., First dose through last dose for each subject, an average of 8 months","Part 1: Pharmacokinetics (PK)- Cmax, PK would be analyzed by maximum concentration (Cmax) of dFdC, Cycle 1 Days 1 and 15|Part 1: PK- AUC, PK would be analyzed by Area Under Curve (AUC) of dFdC, Cycle 1 Days 1 and 15|Part 2: Pharmacokinetics (PK)- Cmax, PK would be analyzed by maximum concentration (Cmax) of dFdC, Cycle 1 Days 1, 8, and 15; Cycle 1 Day 15 and Cycle 2 Day 1 for food-effect cohort only|Part 2: PK- AUC, PK would be analyzed by Area Under Curve (AUC) of dFdC, Cycle 1 Days 1, 8, and 15; Cycle 1 Day 15 and Cycle 2 Day 1 for food-effect cohort only",,InnoPharmax Inc.,,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,19,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: SEQUENTIAL | Masking: NONE | Primary Purpose: TREATMENT,Inno-GO-03,2018-08-06,2020-12-28,2020-12-29,2018-05-21,2023-11-24,2023-11-24,"China Medical University Hospital, Taichung, 404, Taiwan|National Cheng-Kung University Hospital, Tainan, 704, Taiwan|National Taiwan University Hospital, Taipei, 100, Taiwan|Taipei Veterans General Hospital, Taipei, 11217, Taiwan","Study Protocol, https://cdn.clinicaltrials.gov/large-docs/20/NCT03531320/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/20/NCT03531320/SAP_001.pdf"
NCT01724320,"A Phase I, First-in-man Study of OTX008 Given Subcutaneously as a Single Agent to Patients With Advanced Solid Tumors",https://clinicaltrials.gov/study/NCT01724320,,UNKNOWN,"The purpose of this study is to determine the recommended dose (RD) for further phase II studies, of the Galectin-1 inhibitor OTX008 given subcutaneously in patients with advanced solid tumors",NO,Solid Tumors,DRUG: OTX008,"Dose Limiting Toxicity, Dose Limiting Toxicity (DLT) will be assessed during the first 21 days (3 weeks)of OTX008 treatment in each patient to determine Recommended Dose (RD), up to 3 weeks of OTX008 treatment","Pharmacokinetics (PK), OTX008 plasma concentration will be assessed at days 1, 2 and 22 of OTX008 treatment to determine PK profile of OTX008. Following parameters will be used: Trough (Cmin) and peak (Cmax) of OTX008 concentrations, Tmax, t1/2, steady state, total clearance, AUC (Area Under Curve), Days 1, 2 and 22 of OTX008 treatment|Pharmacodynamics (PD), Following parameter will be measured: plasma levels of galectin-1, Days 1 and 22 of OTX008 treatment",,"Oncoethix GmbH, a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",,ALL,"ADULT, OLDER_ADULT",PHASE1,20,INDUSTRY,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,OTX008_101,2012-02,2013-05,2013-05,2012-11-09,,2012-11-09,"Institut Jules Bordet, Brussels, 1000, Belgium|Hopital Beaujon - AP-HP, Clichy, 92110, France|Institut Claudius Regaud, Toulouse, 31052, France",
NCT03518320,Safety and Tolerability of TAR-200 and Nivolumab in Subjects With Muscle-Invasive Bladder Cancer,https://clinicaltrials.gov/study/NCT03518320,,TERMINATED,"The purpose of this study is to determine if TAR-200, an investigational drug delivery system, in combination with nivolumab is safe and tolerable in patients with muscle-invasive bladder cancer (MIBC) who are scheduled for radical cystectomy (RC) during an 84-day dosing cycle induction period comprised of four consecutive 21-day dosing cycles.",NO,Bladder Cancer TNM Staging Primary Tumor (T) T2|Bladder Cancer TNM Staging Primary Tumor (T) T2A|Bladder Cancer TNM Staging Primary Tumor (T) T2B|Bladder Cancer TNM Staging Primary Tumor (T) T3|Bladder Cancer TNM Staging Primary Tumor (T) T3A|Bladder Cancer TNM Staging Primary Tumor (T) T3B|Bladder Cancer TNM Staging Regional Lymph Node (N) N0|Bladder Cancer TNM Staging Regional Lymph Node (N) N1|Bladder Cancer TNM Staging Distant Metastasis (M) M0,DRUG: Gemcitabine-Releasing Intravesical System (GemRIS)/TAR-200|DRUG: Nivolumab Injection [Opdivo],"Number of participants with incidence of treatment emergent adverse events (TEAEs) over 4 consecutive 21-day dosing cycles of TAR-200 in combination with Nivolumab as assessed by CTCAE V4.0., Will be assessed through the duration of the study by reported AEs, Study Day 0 to Study Day 180|Number of participants that do not require treatment discontinuation prior to the scheduled end date due to meeting any of the Subject Stopping Safety criteria or other drug or device related AE, Will be assessed through the duration of the study by reported treatment discontinuation prior to the scheduled date, Study Day 0 to Study Day 180",,,Taris Biomedical LLC,Bristol-Myers Squibb,ALL,"ADULT, OLDER_ADULT",PHASE1,13,INDUSTRY,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,TAR-200-104,2019-01-02,2019-12-11,2019-12-11,2018-05-08,,2024-08-27,"DuPage Medical Group, Hinsdale, Illinois, 60521, United States|University of Rochester Medical Center, Rochester, New York, 14642, United States|Duke University Medical Center, Durham, North Carolina, 27710, United States|The University of Oklahoma Stephenson Cancer Center, Oklahoma City, Oklahoma, 73104, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States",
NCT04624282,Metabonomics Study of Chronic Gastritis and Gastric Carcinoma,https://clinicaltrials.gov/study/NCT04624282,,UNKNOWN,The pathogenetic mechanisms of chronic gastritis and gastric carcinoma are different. Whether metabonomics play a role in the development of chronic gastritis and gastric cancer is still a question. So the investigators want to clarify this question by this subject.,NO,Gastric Cancer,DIAGNOSTIC_TEST: different diseases,"Metabonomic difference in patients with chronic gastritis and gastric carcinoma, 1.The different levels of metabolites in gastric tissues in patients with chronic gastritis and gastric carcinoma. 2. The common change model of metabolites in gastric carcionoma compared with chronic gastritis., six months","Association of different metabolic substances and disease results in chronic gastritis and gastric carcinoma, The researchers want to reveal the relationship between different metabolic sustances and disease result in patientswith chronic gastritis and gastric carcinoma., six months",,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,ALL,"ADULT, OLDER_ADULT",,60,OTHER,OBSERVATIONAL,Observational Model: COHORT | Time Perspective: PROSPECTIVE,I2020001797,2020-11-01,2021-04-30,2021-05-31,2020-11-10,,2021-01-20,"2nd Affiliated Hospital, School of Medicine, Hangzhou, Zhejiang University, 310000, China",
NCT02826382,Preliminary Evaluation of Uptake in Bone Metastases and Biodistribution of [68Ga]P15-041,https://clinicaltrials.gov/study/NCT02826382,,COMPLETED,A phase1 study to demonstrate \[68Ga\]P15-041 binding to bone metastases in prostate cancer and determination of human dosimetry.,NO,Prostate Cancer|Bone Metastases,DRUG: [68Ga]P15-041,"Time course of uptake of [68Ga]P15-041 in bone metastases, kinetics of \[68Ga\]P15-041 uptake in known or suspected bone metastases in prostate cancer, 60 minutes post injection|Time course of whole body distribution of [68Ga]P15-041, whole body distribution of \[68Ga\]P15-041 used for human dosimetry determination, 3 hours post injection",,,"Five Eleven Pharma, Inc.",,MALE,"ADULT, OLDER_ADULT",EARLY_PHASE1,14,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: DIAGNOSTIC,511-0001-A,2016-09-20,2022-12-31,2022-12-31,2016-07-11,,2023-01-12,"University of Pennsylvania, Philadelphia, Pennsylvania, United States",
NCT06238882,Nitroglycerin Plus Radiotherapy Versus Conventional Radiotherapy in Patients With Lung Cancer.,https://clinicaltrials.gov/study/NCT06238882,,RECRUITING,"The goal of this interventional phase III clinical trial is to evaluate objective intracranial response rate (iORR) after a treatment with total cranial radiation therapy plus concomitant transdermal nitroglycerin (NTG) addition or total cranial radiation therapy only in patients with stage IV non-small cell lung cancer with brain metastases and EGFR mutation. The main questions it aims to answer are:

Determine progression-free survival (PFS) to CNS and overall survival (OS). Evaluate and compare the quality of life (QoL) of patients during and after treatment.

Evaluate the cognitive function of patients before, during and after treatment. Evaluate treatment-associated toxicity to grade adverse treatment events Evaluation of HIF1α, VEGF and ROS1 in peripheral blood before and after nitroglycerin treatment.

All participants will have laboratory tests at the beginning and end of radiation therapy. Cranial MRI will be performed prior to treatment and 12 weeks after the end of treatment, then every 16 weeks until intracranial progression. Patients in the interventional group will be given 36 mg patches of transdermal nitroglycerin for 24 hours with a 12-hour rest interval during treatment with radiation therapy. The control group will only receive total cranial radiation therapy at the same doses and with the same schedule.",NO,Non-small Cell Lung Cancer|Brain Metastases|EGFR Gene Mutation,COMBINATION_PRODUCT: Nitroglycerin,"iORR, Objective intracranial response rate (iORR) in patients with lung cancer and brain metastases treated with total cranial radiation therapy plus concomitant transdermal nitroglycerin addition versus patients treated with total cranial radiation therapy only., From date after radiation treatment until the first documented progression date, or last evaluable assessment in the absence of progression, or death from any cause, whichever comes first, to 12 weeks of follow up.","iPFS, Intracranial progression-free survival (iPFS) in patients with lung cancer and brain metastases treated with total cranial radiation therapy plus concomitant transdermal nitroglycerin addition versus patients treated with total cranial radiation therapy only., From date of treatment initiation until date of disease progression or worsening until 12 weeks, and every 16 weeks of follow up until progression.|OS, Overall survival (OS) in patients with lung cancer and brain metastases treated with total cranial radiation therapy plus concomitant transdermal nitroglycerin addition versus patients treated with total cranial radiation therapy only., Duration of patient survival from the date of treatment initiation until until 12 weeks, and every 16 weeks of follow up|QoL, Quality of Life (QoL) measured by EORTC QLQ C30/LC13 in patients with lung cancer and brain metastases treated with total cranial radiation therapy plus concomitant transdermal nitroglycerin addition versus patients treated with total cranial radiation therapy only.

The EORTC QLQ-C30 questionnaire consists of 30 questions with five functional scores (physical, role, cognitive, emotional and social); a global health status score three symptom scale score (fatigue, pain, nausea and vomiting); and six independent one-it.

All scale and single-item scores can be linearly transformed to a score ranged from 0 to 100. A higher score of global health and functional subscriptions indicates better functioning., A day before, within, and a day after the date of treatment initiation until date of disease progression or worsening or 12 weeks, and every 16 weeks of follow up.|Cognitive function, Evaluate the cognitive function of patients with lung cancer and brain metastases treated with nitroglycerin vs radiation therapy alone before, during and after treatment using the Neuropsi Attention and Memory (NAM) instrument.

NEUROPSI evaluates attention, memory, and learning functioning in Spanish speakers.

Subtests are organized into summary scores that yield a General Attention and Memory Index Score, an Attention Index, Memory Index, and each of the subtests.

Subtests evaluate Orientation, Attention and Concentration, Working Memory, Immediate Verbal Memory, Delayed Verbal Memory, Immediate Visual Memory, Delayed Verbal Memory, and Executive Functions.

The Neuropsi Attention and Memory includes theoretical updates and new test scores indexes. It includes an adjustment of the norms of Total Attention and Executive Functions and Total Attention and Memory according to the modification of the tasks of digit detection and Stroop test., A day before, within, and a day after the date of treatment initiation until date of disease progression or worsening or 12 weeks, and every 16 weeks of follow up.|Treatment-related Toxicity, Treatment-related toxicity in patients with lung cancer and brain metastases treated with total cranial radiation therapy plus concomitant transdermal nitroglycerin addition versus patients treated with total cranial radiation therapy only using NCI Common Terminology Criteria for Adverse Events (CTCAE), version 5.0 to grading adverse events (AE).

A grading (severity) scale is provided for each AE term. The CTCAE displays Grades 1 through 5:

Grade 1 Mild; asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated.

Grade 2 Moderate; minimal, local or noninvasive intervention indicated; limiting age appropriate instrumental ADL\*.

Grade 3 Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of hospitalization indicated; disabling; limiting self care ADL\*\*.

Grade 4 Life-threatening consequences; urgent intervention indicated. Grade 5 Death related to AE., Thee date of day 1, 7 and 10 of therapy and the date of 12 weeks after treatment.",,Instituto Nacional de Cancerologia de Mexico,,ALL,"ADULT, OLDER_ADULT",NA,74,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,(023/013/ICI)(CEI/083/22),2023-02-23,2026-12-23,2027-02-15,2024-02-02,,2026-04-09,"Instituto Nacional de Cancerologia, Mexico City, Mexico City, 14080, Mexico",
